Latitude and Longitude,Class of Land,RVI,mean_rvi,min_rvi,max_rvi,std_rvi,Predicted Class
"(9.9671574157984, 105.52326344471712)",Rice,"<xarray.DataArray (time: 45)>
array([0.16495079, 0.10693932, 0.33183905, 0.54797155, 0.49255174,
       0.4425173 , 0.64625466, 0.8278777 , 1.1114042 , 1.2470796 ,
       0.8092361 , 0.922491  , 0.895772  , 1.0775412 , 0.8658522 ,
       0.93614656, 0.46279827, 0.37412506, 0.38613573, 0.13031928,
       0.15308066, 0.23974544, 0.21587667, 1.1336318 , 0.93481535,
       1.2785761 , 1.3201784 , 1.0645403 , 0.84786737, 1.0074117 ,
       1.2613757 , 0.63045627, 0.57995933, 0.58959746, 0.4599672 ,
       0.2623553 , 0.42482287, 0.80373794, 0.56860054, 0.2865293 ,
       1.0974692 , 1.0554779 , 0.66577333, 0.9461755 , 1.0576198 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7036765, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.10693932)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.32017839)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.35295025)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.980784280688201, 105.5264430465246)",Rice,"<xarray.DataArray (time: 45)>
array([0.16780555, 0.11466119, 0.24579895, 0.6171799 , 1.0614337 ,
       0.5165777 , 0.9039904 , 0.88295937, 1.093226  , 1.4267647 ,
       0.99373865, 1.2588949 , 0.78001827, 1.2699409 , 0.91028446,
       1.1933415 , 0.98557174, 0.4079187 , 0.30365914, 0.24465999,
       0.14428414, 0.3288542 , 0.27246487, 1.2994497 , 0.9749667 ,
       1.1369778 , 1.1668569 , 0.9316196 , 0.9475    , 0.96860564,
       1.2655758 , 0.33199483, 0.47648993, 0.5105837 , 0.5904144 ,
       0.2202037 , 0.20291659, 0.6379267 , 0.53173417, 0.80176353,
       1.0479189 , 1.2155098 , 1.1032394 , 0.577466  , 1.0627875 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.75836724, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.11466119)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.42676473)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.38256186)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.964432042820441, 105.4991893167462)",Rice,"<xarray.DataArray (time: 45)>
array([0.21118121, 0.16374934, 0.26574865, 0.6637328 , 0.4624413 ,
       0.63921535, 0.96196353, 0.6563936 , 1.0580045 , 0.74616355,
       0.9242833 , 1.1807505 , 1.0510303 , 0.65666723, 0.57024264,
       0.7375736 , 0.85680807, 0.8568603 , 0.5337294 , 0.6130514 ,
       0.4704761 , 0.35802   , 0.30222735, 0.63013476, 0.54557425,
       1.0010014 , 0.7836191 , 0.8851734 , 0.6784077 , 0.7857358 ,
       1.0865769 , 0.68649614, 0.614579  , 0.73118365, 0.75942034,
       0.4267367 , 0.35024723, 0.39223382, 0.33779642, 0.21518902,
       0.62411946, 0.3821117 , 0.2610481 , 0.40589654, 0.4675434 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.62202525, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16374934)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.18075049)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.25684431)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.981238509517862, 105.5060027491908",Rice,"<xarray.DataArray (time: 45)>
array([0.13876393, 0.13017511, 0.1889216 , 0.71006227, 0.785547  ,
       0.8626759 , 0.82103044, 0.9415417 , 1.2257746 , 1.2843933 ,
       0.98765343, 0.96076393, 0.8513877 , 0.94958735, 1.1099079 ,
       1.1279827 , 0.46777025, 0.48215672, 0.63261163, 0.25623474,
       0.254743  , 0.3590144 , 0.21153417, 0.8079667 , 0.6704365 ,
       1.2791383 , 0.9637417 , 0.8539018 , 0.98123217, 0.8534564 ,
       0.96687096, 0.9567286 , 0.9344851 , 0.39998686, 0.4193584 ,
       0.27897927, 0.41559404, 0.12557901, 0.19974948, 0.25480676,
       0.92220205, 0.94982064, 0.7184822 , 1.0390129 , 0.96091694],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7042818, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.12557901)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.28439331)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.34333014)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.98805194196276, 105.50554852036115)",Rice,"<xarray.DataArray (time: 45)>
array([0.15648402, 0.15460609, 0.07886235, 0.24354473, 0.25954646,
       0.70984787, 0.5004333 , 0.4850109 , 1.0569832 , 1.0705999 ,
       0.97573644, 0.85205686, 1.0401223 , 0.86421573, 1.1113888 ,
       1.0062609 , 0.6025673 , 0.70032996, 0.5131677 , 0.15424365,
       0.19938537, 0.37753403, 0.14769271, 0.5572126 , 0.6012215 ,
       0.90292853, 0.8107488 , 0.70082265, 0.7803964 , 0.914731  ,
       1.058494  , 0.8277549 , 0.7537047 , 0.6860367 , 0.8905792 ,
       0.10440611, 0.17332724, 0.3498618 , 0.41331345, 0.512582  ,
       0.8948833 , 0.96481174, 0.8984092 , 0.44480816, 0.7207818 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.62716526, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.07886235)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.1113888)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31288686)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.986689255473781, 105.49146742664232)",Rice,"<xarray.DataArray (time: 45)>
array([0.20988083, 0.20692076, 0.37941933, 0.6011185 , 0.41558838,
       0.26211205, 0.37930003, 0.48800272, 0.92480767, 0.9977842 ,
       1.1329914 , 1.3036673 , 0.8867297 , 1.0617473 , 0.9224958 ,
       0.70032436, 1.0607467 , 0.41929784, 0.349072  , 0.8213879 ,
       0.4220194 , 0.21758643, 0.15468495, 0.9110474 , 0.60080564,
       1.0230615 , 0.65055174, 0.93470424, 1.1131021 , 0.86054206,
       0.8458799 , 0.9488444 , 0.34213713, 0.33793896, 0.5368025 ,
       0.22270815, 0.21780644, 0.28484365, 0.3043904 , 0.46273023,
       1.1028031 , 1.0074695 , 0.77483255, 0.91646326, 0.9439712 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.65913606, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.15468495)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.30366731)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.32651848)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.969428559946701, 105.49737240142764)",Rice,"<xarray.DataArray (time: 45)>
array([0.2778416 , 0.17737223, 0.26792273, 0.45356902, 0.2976663 ,
       0.31499195, 0.48388636, 0.64087534, 0.814727  , 1.2282695 ,
       0.96358085, 0.7256954 , 1.0198961 , 1.048935  , 0.7362204 ,
       0.79697555, 0.7782649 , 0.7605279 , 0.6441959 , 0.5549998 ,
       0.43588573, 0.5018679 , 0.25530854, 0.84529996, 0.9631788 ,
       0.97406507, 0.7927996 , 0.9255885 , 0.853174  , 1.1072506 ,
       0.86354077, 0.7075726 , 0.64556974, 0.50083095, 0.4570941 ,
       0.5784535 , 0.33703244, 0.32030064, 0.31571323, 0.25472113,
       0.4983755 , 0.73469037, 0.33951682, 0.69724727, 0.8389649 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.63845456, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.17737223)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.22826946)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.26654145)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.987597713133102, 105.50009777440548)",Rice,"<xarray.DataArray (time: 45)>
array([0.10685155, 0.10445129, 0.18354511, 0.70373935, 0.49292034,
       0.40670526, 1.1236264 , 0.8713469 , 1.0827327 , 1.1617368 ,
       1.009837  , 1.0356746 , 1.094562  , 0.9410566 , 0.9776865 ,
       0.8473804 , 0.8788864 , 0.41742125, 0.41335887, 0.26081285,
       0.21747199, 0.17621894, 0.12842537, 0.9437394 , 0.8927185 ,
       1.2427958 , 0.7680805 , 0.9151418 , 0.70850426, 0.75741905,
       0.8330673 , 0.95047516, 0.6891021 , 0.560069  , 0.46393093,
       0.39371622, 0.27377617, 0.21980733, 0.46757826, 0.28024364,
       1.0623361 , 0.848723  , 0.41160524, 0.71733314, 0.99237126],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6673107, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.10445129)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.24279583)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.3341527)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.977150450050921, 105.54279528439164)",Rice,"<xarray.DataArray (time: 45)>
array([0.39377433, 0.46193042, 0.4069813 , 0.7390701 , 0.99408805,
       0.41166025, 0.6106581 , 0.6996917 , 0.48822987, 0.6550212 ,
       0.84058166, 1.0601826 , 0.7026266 , 1.0054024 , 0.6568309 ,
       0.77063334, 0.90980583, 0.23804526, 0.5499352 , 0.1605533 ,
       0.5329422 , 0.2200382 , 0.41515455, 0.97056115, 0.80651534,
       1.0005486 , 0.99310607, 0.6875893 , 0.916864  , 0.9780158 ,
       0.7981069 , 0.45792577, 0.4214948 , 0.23241906, 0.26108992,
       0.31420588, 0.26327953, 0.64358413, 0.37053603, 0.6889848 ,
       0.5419378 , 0.6272884 , 0.9580565 , 0.59203357, 0.68452847],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6251669, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.16055331)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.06018257)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.25266564)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.973062390583982, 105.49101319781266)",Rice,"<xarray.DataArray (time: 45)>
array([0.10426171, 0.16498691, 0.37590477, 0.24379262, 0.16866827,
       0.24922577, 0.7815932 , 0.6675809 , 0.75450546, 0.6089775 ,
       1.0649345 , 0.84646624, 0.8975081 , 0.86036676, 0.9097607 ,
       1.0069497 , 0.49712628, 0.49997976, 0.39373568, 0.3625443 ,
       0.1821725 , 0.23257037, 0.14006905, 1.0798655 , 0.7685945 ,
       1.3311368 , 1.0611359 , 1.0030372 , 1.2146225 , 0.9102046 ,
       1.0687158 , 0.8717585 , 1.0163053 , 0.33263317, 0.57944685,
       0.44765964, 0.2957052 , 0.25490642, 0.43020207, 0.2841542 ,
       0.91422373, 0.89656126, 1.1094544 , 0.8698423 , 1.0582085 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6624901, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.10426171)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.33113682)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.346921)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.952167864419621, 105.52190075822818)",Rice,"<xarray.DataArray (time: 45)>
array([0.44685826, 0.32154933, 0.16070792, 0.9156931 , 0.5615757 ,
       0.7397768 , 0.69579774, 0.62067443, 1.1645077 , 1.1231475 ,
       0.9049173 , 1.1450802 , 1.0106432 , 0.8800293 , 1.3502065 ,
       1.1688966 , 0.9132684 , 0.3607884 , 0.3202342 , 0.20899555,
       0.19193718, 0.31023663, 0.12279433, 1.0456053 , 1.0562407 ,
       0.92945814, 1.1036134 , 0.7316989 , 0.7242659 , 0.6117669 ,
       1.1660254 , 0.42439792, 0.43966857, 0.39203143, 0.3190772 ,
       0.65687466, 0.64493924, 0.38792193, 0.3229913 , 0.4153645 ,
       0.9121398 , 1.0519247 , 0.88595897, 0.79170805, 0.68050796],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.69627774, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.12279433)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.35020649)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.32918799)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.985326568984801, 105.49782663025726)",Rice,"<xarray.DataArray (time: 45)>
array([0.12059195, 0.16758692, 0.31086865, 0.56096876, 0.6339975 ,
       0.6582322 , 0.5900798 , 0.5829482 , 1.0720484 , 0.9083144 ,
       0.9730029 , 1.2452937 , 1.1208644 , 1.0967097 , 1.0955106 ,
       1.1021487 , 0.49430993, 0.5308496 , 0.6272364 , 0.22366248,
       0.25089028, 0.32092956, 0.25767982, 0.7590855 , 0.65705836,
       1.0198298 , 0.7237229 , 0.8177107 , 0.9319287 , 0.8575688 ,
       0.84792054, 0.60140187, 0.9204412 , 0.55492526, 0.4742187 ,
       0.18416949, 0.17280851, 0.32585472, 0.6806043 , 0.39210528,
       0.93780416, 1.0959694 , 0.78310233, 0.8837209 , 0.85234517],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.67597824, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.12059195)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.24529374)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.30752116)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.976241992391602, 105.48647090951627)",Rice,"<xarray.DataArray (time: 45)>
array([0.13694495, 0.21349221, 0.11887131, 0.501899  , 0.7653316 ,
       0.3029163 , 0.7029552 , 0.68082446, 1.0516099 , 1.1720966 ,
       0.91086787, 1.2142421 , 0.7369714 , 0.7345099 , 0.87506616,
       0.9510569 , 0.9488362 , 0.5698003 , 0.37407172, 0.5230414 ,
       0.5177901 , 0.22071664, 0.16634437, 0.8353474 , 0.8068492 ,
       1.2197698 , 0.36378142, 0.8538464 , 0.6221802 , 1.0181378 ,
       0.97853106, 0.82085395, 0.8230266 , 0.5197242 , 0.42746326,
       0.44183755, 0.2464044 , 0.26159528, 0.19263826, 0.22216052,
       0.617459  , 0.7380772 , 0.5152447 , 0.7116564 , 0.881479  ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6335182, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.11887131)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.21976984)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.30527407)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.979421594199222, 105.49555548610908)",Rice,"<xarray.DataArray (time: 45)>
array([0.14278562, 0.07711021, 0.34146544, 0.65605587, 0.9033044 ,
       0.6406552 , 1.0773063 , 1.1166438 , 0.9932994 , 0.80457455,
       1.1471076 , 1.0833762 , 0.6937107 , 1.0251025 , 0.8787693 ,
       1.0989547 , 0.80748487, 0.25131142, 0.28379768, 0.13318464,
       0.13125421, 0.26305285, 0.13400272, 1.155645  , 1.0393124 ,
       0.68862116, 0.799314  , 0.7282933 , 0.7323163 , 0.96195406,
       1.1834878 , 0.6740573 , 0.84345084, 0.6174206 , 0.3707416 ,
       0.10877729, 0.09085511, 0.22262082, 0.3274318 , 0.29837736,
       0.9997675 , 0.99311686, 1.0697522 , 0.5713714 , 0.8469111 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.66684234, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.07711021)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.18348777)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.35888043)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.984418111325482, 105.54506642853983)",Rice,"<xarray.DataArray (time: 45)>
array([0.17304271, 0.22833043, 0.15645699, 0.39690265, 0.4407637 ,
       0.8422839 , 0.75723904, 0.53234196, 0.9177256 , 0.9106916 ,
       1.3240558 , 0.9213015 , 1.2455871 , 0.97360396, 1.1701303 ,
       1.1046647 , 0.47076818, 0.7656628 , 0.584443  , 0.18907252,
       0.37981114, 0.21193422, 0.14933585, 0.60501885, 0.9926244 ,
       1.1512862 , 1.2036037 , 0.75229686, 0.7982476 , 0.90159947,
       1.1699772 , 0.8635662 , 0.51508653, 0.50634354, 0.3596989 ,
       0.14391449, 0.2716752 , 0.55063397, 0.5725619 , 0.40345645,
       0.85962796, 0.96733594, 0.939673  , 0.7882187 , 1.0351176 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6932826, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.14391449)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.32405579)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.33995923)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.972608161754321, 105.53734453843595)",Rice,"<xarray.DataArray (time: 45)>
array([0.2593979 , 0.25563797, 0.18738924, 0.27436748, 0.4857717 ,
       0.63276416, 0.85494155, 0.75639105, 1.0297446 , 1.1739875 ,
       1.1553686 , 1.0667497 , 0.74889535, 1.1473033 , 1.1990788 ,
       0.74187964, 0.548147  , 0.3251508 , 0.47725436, 0.5482722 ,
       0.38240233, 0.17793092, 0.1639462 , 1.1119965 , 1.0111536 ,
       1.0186031 , 0.6510628 , 0.68230087, 0.83211696, 0.7467113 ,
       0.587987  , 0.708777  , 0.8833194 , 0.73633045, 0.5141963 ,
       0.6635546 , 0.8164952 , 0.3436635 , 0.3217066 , 0.3836163 ,
       0.4306984 , 0.8540064 , 0.39920297, 0.7929897 , 0.93385535],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.66704696, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.1639462)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.1990788)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.29804653)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.980784280688201, 105.49646394376836)",Rice,"<xarray.DataArray (time: 45)>
array([0.10425286, 0.07576624, 0.30570406, 0.6746115 , 0.56920063,
       0.79049253, 1.0577707 , 1.0578082 , 1.1015577 , 1.2333752 ,
       0.9953192 , 1.0890695 , 0.9608833 , 1.2437189 , 1.3643831 ,
       1.1538883 , 0.96194565, 0.39000526, 0.26272282, 0.14786546,
       0.13794741, 0.22208057, 0.16051939, 0.79224306, 1.0162737 ,
       0.8785078 , 0.8258733 , 0.81349444, 0.96576065, 0.97484356,
       1.2950623 , 0.58952355, 0.593794  , 0.5361176 , 0.40395898,
       0.14894995, 0.22569631, 0.30675486, 0.41743165, 0.36123812,
       1.2214739 , 0.8321288 , 0.9126986 , 0.67252874, 0.78689396],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.7029364, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.07576624)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.3643831)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.37716419)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.98487234015514, 105.50146046089439)",Rice,"<xarray.DataArray (time: 45)>
array([0.23120031, 0.24173333, 0.31703287, 0.7297235 , 0.77869284,
       0.5743081 , 0.7393676 , 0.97553277, 0.76366323, 1.0949997 ,
       0.8667702 , 1.1371677 , 0.86002415, 1.1783278 , 0.9700154 ,
       0.93729156, 0.45095682, 0.6211174 , 0.6072679 , 0.69651985,
       0.2840742 , 0.35844728, 0.32936436, 1.0201054 , 0.96380717,
       0.5821086 , 0.5684086 , 0.80021274, 0.682061  , 0.82043415,
       0.99665475, 0.5207839 , 0.64967275, 0.47249824, 0.59984076,
       0.3604657 , 0.3912698 , 0.7589714 , 0.5530569 , 0.39138055,
       0.81780124, 0.7614265 , 0.5484306 , 0.76543665, 0.9489156 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6826076, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.23120031)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.1783278)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.24855359)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.961252441012821, 105.52598881769495)",Rice,"<xarray.DataArray (time: 45)>
array([0.34225556, 0.19600895, 0.16571653, 0.32483616, 0.39341477,
       0.35713816, 0.44653368, 0.9038802 , 0.8315371 , 0.95469904,
       0.78327703, 1.176375  , 1.0194324 , 1.0313281 , 0.70228094,
       1.0666038 , 0.513656  , 0.5127135 , 0.30531517, 0.5665097 ,
       0.3413461 , 0.18489529, 0.10775014, 0.985835  , 0.8313196 ,
       1.0113231 , 0.71298677, 0.7752996 , 0.65610325, 1.0643594 ,
       1.1907101 , 0.7207607 , 0.5617957 , 0.44158763, 0.5102836 ,
       0.12935834, 0.1265523 , 0.5785405 , 0.49390462, 0.27746397,
       0.9600729 , 1.0807229 , 0.5570252 , 0.8136624 , 1.1259794 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6407367, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.10775014)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.19071007)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.32093707)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.94989672027132, 105.51826692759107)",Rice,"<xarray.DataArray (time: 45)>
array([0.07424299, 0.20728932, 0.23740327, 0.61135083, 0.70512   ,
       0.36133853, 0.6248222 , 0.6422518 , 0.71694976, 1.0375279 ,
       0.9706771 , 1.0213909 , 0.9408243 , 0.98135495, 0.9570434 ,
       0.8521245 , 0.5596602 , 0.35959572, 0.46953288, 0.31206098,
       0.20087631, 0.303228  , 0.24752189, 1.0051247 , 0.74148834,
       1.1502172 , 0.8094013 , 0.6912949 , 0.93010145, 0.8697523 ,
       1.1324582 , 0.9181667 , 0.73681337, 0.2929336 , 0.4932045 ,
       0.25380763, 0.53581744, 0.16762613, 0.47433308, 0.19696935,
       0.9787569 , 0.8795317 , 0.7817627 , 1.0862893 , 1.0853266 ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.657897, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.07424299)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.15021718)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.31380281)
Coordinates:
    spatial_ref  int32 4326",Rice
"(9.98941462845174, 105.50827389333898)",Rice,"<xarray.DataArray (time: 45)>
array([0.11522251, 0.11592746, 0.11203656, 0.42805716, 0.6106054 ,
       0.47040826, 0.943175  , 0.7822638 , 0.95941967, 1.0211463 ,
       1.0405202 , 1.1544682 , 0.7230498 , 0.99798155, 0.8666144 ,
       0.94185394, 0.6265914 , 0.53174466, 0.30645308, 0.31671003,
       0.13421153, 0.21221581, 0.17420758, 1.0178623 , 0.730271  ,
       1.0212476 , 0.8685526 , 0.7660762 , 0.82082456, 1.0027155 ,
       1.2611103 , 0.7252469 , 0.46936557, 0.51021785, 0.34144095,
       0.21921861, 0.2370149 , 0.33865717, 0.54096395, 0.87229633,
       0.8234245 , 0.9292985 , 1.0104234 , 0.8504912 , 1.100444  ],
      dtype=float32)
Coordinates:
    spatial_ref  int32 4326
  * time         (time) datetime64[ns] 2021-12-04T22:46:07.919581 ... 2022-08...","<xarray.DataArray ()>
array(0.6676011, dtype=float32)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.11203656)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(1.26111031)
Coordinates:
    spatial_ref  int32 4326","<xarray.DataArray ()>
array(0.32918361)
Coordinates:
    spatial_ref  int32 4326",Rice
